Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-24,14120.02,14120.02,13920.57,13978.47,3707130000,0,0
2020-01-27,13746.63,13826.43,13742.01,13769.6,3823100000,0,0
2020-01-28,13812.65,13913.59,13798.34,13877.61,3526720000,0,0
2020-01-29,13912.79,13922.44,13843.79,13843.81,3584500000,0,0
2020-01-30,13745.2,13869.64,13699.81,13861.92,3787250000,0,0
2020-01-31,13783.81,13788.22,13573.04,13614.1,4527830000,0,0
2020-02-03,13655.89,13765.33,13655.89,13677.92,3757910000,0,0
2020-02-04,13826.1,13920.63,13826.1,13862.84,3995320000,0,0
2020-02-05,13964.0,14029.91,13947.59,14024.86,4117730000,0,0
2020-02-06,14066.9,14069.33,14023.48,14034.95,3868370000,0,0
2020-02-07,13987.51,13987.51,13912.04,13931.93,3730650000,0,0
2020-02-10,13904.02,13984.55,13899.53,13984.48,3450350000,0,0
2020-02-11,13984.48,14100.27,13984.48,14054.08,3760550000,0,0
2020-02-12,14117.83,14148.24,14108.52,14136.98,3926380000,0,0
2020-02-13,14069.25,14132.88,14049.13,14099.04,3498240000,0,0
2020-02-14,14104.77,14110.19,14046.6,14097.34,3398040000,0,0
2020-02-18,14047.91,14072.69,13990.7,14039.01,3746720000,0,0
2020-02-19,14077.51,14115.95,14066.24,14087.13,3600150000,0,0
2020-02-20,14061.04,14104.92,13955.75,14061.48,4007320000,0,0
2020-02-21,14014.63,14014.63,13931.13,13975.78,3899270000,0,0
2020-02-24,13654.0,13654.0,13493.68,13534.12,4842960000,0,0
2020-02-25,13570.21,13582.74,13110.09,13143.73,5591510000,0,0
2020-02-26,13194.31,13323.34,13041.94,13046.62,5478110000,0,0
2020-02-27,12841.4,12977.18,12544.99,12547.25,7058840000,0,0
2020-02-28,12547.25,12547.25,12024.45,12380.97,8563850000,0,0
2020-03-02,12441.43,12830.13,12316.18,12827.99,6376400000,0,0
2020-03-03,12845.06,13015.66,12432.52,12542.74,6355940000,0,0
2020-03-04,12696.61,13011.45,12673.9,13009.96,5035480000,0,0
2020-03-05,12740.86,12786.64,12489.77,12593.03,5575550000,0,0
2020-03-06,12593.03,12593.03,12106.74,12352.03,6552140000,0,0
2020-03-09,11748.61,11748.61,11240.77,11298.43,8423050000,0,0
2020-03-10,11635.22,11794.01,11246.52,11793.27,7635960000,0,0
2020-03-11,11523.94,11523.94,11053.79,11177.29,7374110000,0,0
2020-03-12,10466.7,10646.92,10054.47,10060.76,8829380000,0,0
2020-03-13,10445.44,10851.75,10060.35,10851.74,8258670000,0,0
2020-03-16,10851.98,10851.98,9559.23,9567.53,7781540000,0,0
2020-03-17,9726.18,10154.16,9484.65,10063.36,8358500000,0,0
2020-03-18,9562.49,9666.57,8953.6,9384.6,8755780000,0,0
2020-03-19,9313.76,9622.21,9048.36,9461.31,7946710000,0,0
2020-03-20,9577.9,9676.94,9108.15,9133.16,9044690000,0,0
2020-03-23,9014.58,9053.49,8664.94,8777.38,7402180000,0,0
2020-03-24,9276.64,9672.01,9276.64,9658.32,7547350000,0,0
2020-03-25,9749.8,10303.9,9591.74,9961.38,8285670000,0,0
2020-03-26,10060.48,10556.9,10060.48,10536.28,7753160000,0,0
2020-03-27,10135.73,10449.22,10064.5,10187.21,6194330000,0,0
2020-03-30,10238.13,10455.77,10131.6,10434.74,5746220000,0,0
2020-03-31,10387.73,10499.8,10237.22,10301.87,6568290000,0,0
2020-04-01,9917.31,10029.0,9766.8,9844.85,5947900000,0,0
2020-04-02,9815.27,10142.01,9813.51,10062.37,6454990000,0,0
2020-04-03,10012.47,10075.91,9774.24,9880.63,6087190000,0,0
2020-04-06,10264.13,10560.73,10233.04,10515.24,6391860000,0,0
2020-04-07,10894.2,10912.56,10534.74,10537.04,7040720000,0,0
2020-04-08,10641.51,10939.97,10538.65,10902.59,5856370000,0,0
2020-04-09,11070.32,11272.48,11019.82,11136.61,7880140000,0,0
2020-04-13,11136.61,11136.61,10817.15,10949.53,5274310000,0,0
2020-04-14,11151.16,11241.23,11064.63,11172.2,5567400000,0,0
2020-04-15,10861.97,10903.06,10760.96,10843.92,5203390000,0,0
2020-04-16,10882.83,10891.68,10718.13,10818.03,5179990000,0,0
2020-04-17,11101.32,11231.27,11030.42,11208.29,5792140000,0,0
2020-04-20,11016.88,11181.81,10985.06,11003.88,5220160000,0,0
2020-04-21,10763.67,10861.79,10667.29,10706.44,5075830000,0,0
2020-04-22,10919.97,10955.5,10844.76,10908.56,5049660000,0,0
2020-04-23,10961.24,11099.0,10905.84,10916.68,5756520000,0,0
2020-04-24,11000.7,11050.01,10868.93,11017.9,5374480000,0,0
2020-04-27,11106.03,11301.31,11086.96,11264.84,5194260000,0,0
2020-04-28,11462.38,11481.3,11272.78,11319.7,5672880000,0,0
2020-04-29,11546.4,11675.3,11513.08,11618.23,6620140000,0,0
2020-04-30,11473.23,11492.91,11326.2,11372.34,6523120000,0,0
2020-05-01,11158.87,11187.77,11011.46,11058.57,4753160000,0,0
2020-05-04,10965.77,11061.96,10900.39,11056.28,4723140000,0,0
2020-05-05,11188.97,11259.2,11124.69,11135.4,5129590000,0,0
2020-05-06,11196.87,11204.53,10999.99,10999.99,4861920000,0,0
